crop, season , date , CentroSul , MédioNorte , Nordeste , Noroeste , Norte , Oeste , Sudeste , Mato Grosso 
soy, 08/09,2008-09-17,0.01,0.01,0,0.01,0,0.04,0,0.01
soy, 08/09,2008-10-02,0.01,0.02,0,0.02,0.01,0.06,0,0.02
soy, 08/09,2008-10-09,0.04,0.14,0,0.03,0.02,0.15,0.01,0.09
soy, 08/09,2008-10-16,0.1,0.21,0,0.06,0.07,0.24,0.07,0.15
soy, 08/09,2008-10-23,0.29,0.38,0,0.19,0.16,0.4,0.21,0.3
soy, 08/09,2008-10-31,0.4,0.54,0.02,0.38,0.27,0.6,0.36,0.46
soy, 08/09,2008-11-06,0.62,0.73,0.11,0.46,0.54,0.77,0.63,0.64
soy, 08/09,2008-11-13,0.82,0.9,0.18,0.7,0.75,0.92,0.79,0.8
soy, 08/09,2008-11-19,0.97,0.98,0.4,0.97,0.91,0.99,0.92,0.92
soy, 08/09,2008-11-27,1,1,0.68,0.98,1,1,0.97,0.96
soy, 08/09,2008-12-04,1,1,0.81,1,1,1,0.99,0.98
soy, 08/09,2008-12-11,1,1,0.98,1,1,1,1,1
soy, 09/10,2009-09-24,0.02,0.03,0,0.01,0.01,0.03,0.01,0.02
soy, 09/10,2009-10-01,0.04,0.06,0,0.04,0.04,0.08,0.03,0.05
soy, 09/10,2009-10-08,0.12,0.19,0,0.12,0.09,0.18,0.09,0.14
soy, 09/10,2009-10-15,0.19,0.29,0.01,0.16,0.14,0.25,0.2,0.22
soy, 09/10,2009-10-22,0.3,0.48,0.05,0.29,0.29,0.43,0.29,0.37
soy, 09/10,2009-10-29,0.47,0.62,0.11,0.41,0.42,0.59,0.45,0.51
soy, 09/10,2009-11-05,0.67,0.78,0.19,0.65,0.64,0.74,0.66,0.68
soy, 09/10,2009-11-12,0.83,0.91,0.32,0.81,0.92,0.86,0.81,0.82
soy, 09/10,2009-11-19,0.94,0.99,0.48,0.92,0.97,0.95,0.97,0.93
soy, 09/10,2009-11-26,0.99,1,0.7,1,1,0.99,0.99,0.97
soy, 09/10,2009-12-03,1,1,0.9,1,1,1,1,0.99
soy, 09/10,2009-12-10,1,1,0.99,1,1,1,1,1
soy, 10/11,2010-09-30,0,0,0,0,0,0.01,0,0
soy, 10/11,2010-10-07,0.02,0.02,0,0,0.01,0.03,0.01,0.02
soy, 10/11,2010-10-14,0.08,0.09,0,0.02,0.04,0.09,0.05,0.07
soy, 10/11,2010-10-21,0.16,0.19,0.03,0.07,0.14,0.19,0.18,0.16
soy, 10/11,2010-10-28,0.33,0.36,0.09,0.18,0.33,0.42,0.27,0.31
soy, 10/11,2010-11-04,0.52,0.56,0.25,0.33,0.5,0.59,0.45,0.49
soy, 10/11,2010-11-11,0.74,0.78,0.47,0.6,0.73,0.8,0.65,0.71
soy, 10/11,2010-11-18,0.91,0.93,0.68,0.72,0.87,0.92,0.83,0.87
soy, 10/11,2010-11-25,0.98,0.98,0.81,0.84,0.95,0.98,0.92,0.94
soy, 10/11,2010-12-02,1,1,0.95,1,1,1,0.97,0.99
soy, 11/12,2011-09-29,0.01,0.01,0,0.01,0.01,0.04,0,0.01
soy, 11/12,2011-10-06,0.02,0.07,0,0.02,0.03,0.11,0.04,0.06
soy, 11/12,2011-10-13,0.09,0.34,0.04,0.13,0.14,0.23,0.16,0.22
soy, 11/12,2011-10-20,0.23,0.52,0.1,0.16,0.19,0.45,0.41,0.4
soy, 11/12,2011-10-27,0.48,0.74,0.23,0.45,0.61,0.62,0.54,0.58
soy, 11/12,2011-11-03,0.68,0.91,0.33,0.64,0.82,0.81,0.73,0.75
soy, 11/12,2011-11-10,0.8,0.98,0.51,0.73,0.91,0.91,0.86,0.86
soy, 11/12,2011-11-17,0.95,1,0.72,0.86,0.99,0.99,0.94,0.94
soy, 11/12,2011-11-24,1,1,0.9,0.95,1,1,0.99,0.98
soy, 11/12,2011-12-01,1,1,0.98,1,1,1,1,1
soy, 12/13,2012-09-20,0.01,0.01,0,0.01,0.01,0.01,0.01,0.01
soy, 12/13,2012-09-27,0.03,0.02,0,0.02,0.02,0.02,0.01,0.02
soy, 12/13,2012-10-04,0.08,0.14,0,0.03,0.11,0.08,0.07,0.09
soy, 12/13,2012-10-11,0.17,0.23,0.01,0.08,0.21,0.21,0.19,0.17
soy, 12/13,2012-10-18,0.27,0.43,0.04,0.18,0.34,0.37,0.38,0.33
soy, 12/13,2012-10-25,0.38,0.69,0.12,0.35,0.55,0.45,0.54,0.5
soy, 12/13,2012-11-01,0.44,0.86,0.19,0.45,0.75,0.58,0.63,0.63
soy, 12/13,2012-11-08,0.66,0.95,0.4,0.69,0.9,0.79,0.78,0.78
soy, 12/13,2012-11-15,0.78,0.99,0.55,0.8,0.99,0.92,0.96,0.89
soy, 12/13,2012-11-22,0.98,1,0.89,0.92,1,0.98,1,0.97
soy, 12/13,2012-11-29,1,1,1,1,1,1,1,1
soy, 13/14,2013-09-19,0,0,0,0,0,0.01,0,0
soy, 13/14,2013-09-26,0.01,0.01,0,0.01,0.01,0.02,0.01,0.01
soy, 13/14,2013-10-03,0.01,0.01,0,0.01,0.01,0.05,0.01,0.01
soy, 13/14,2013-10-10,0.07,0.1,0.02,0.07,0.09,0.17,0.08,0.09
soy, 13/14,2013-10-17,0.23,0.38,0.03,0.2,0.21,0.4,0.23,0.27
soy, 13/14,2013-10-24,0.44,0.62,0.2,0.42,0.49,0.64,0.49,0.51
soy, 13/14,2013-10-31,0.72,0.85,0.33,0.66,0.51,0.81,0.73,0.72
soy, 13/14,2013-11-07,0.91,0.95,0.53,0.86,0.74,0.92,0.88,0.86
soy, 13/14,2013-11-14,0.96,0.99,0.68,0.99,0.85,0.97,0.96,0.93
soy, 13/14,2013-11-21,0.99,1,0.84,1,0.9,1,0.99,0.97
soy, 13/14,2013-11-28,1,1,0.96,1,0.98,1,1,0.99
soy, 13/14,2013-12-05,1,1,1,1,1,1,1,1
soy, 14/15,2014-09-18,0,0,0,0,0,0.01,0,0
soy, 14/15,2014-09-25,0.01,0.02,0,0,0,0.05,0.01,0.02
soy, 14/15,2014-10-02,0.03,0.06,0,0.01,0.03,0.06,0.06,0.05
soy, 14/15,2014-10-09,0.08,0.09,0.01,0.08,0.05,0.14,0.09,0.08
soy, 14/15,2014-10-16,0.09,0.1,0.02,0.09,0.05,0.16,0.1,0.09
soy, 14/15,2014-10-23,0.21,0.22,0.05,0.2,0.12,0.36,0.19,0.2
soy, 14/15,2014-10-30,0.37,0.47,0.18,0.34,0.26,0.56,0.41,0.41
soy, 14/15,2014-11-06,0.65,0.8,0.31,0.66,0.46,0.77,0.7,0.67
soy, 14/15,2014-11-13,0.89,0.91,0.58,0.81,0.68,0.89,0.89,0.84
soy, 14/15,2014-11-20,0.98,0.97,0.78,0.89,0.84,0.96,0.96,0.93
soy, 14/15,2014-11-27,0.99,1,0.92,0.97,0.94,0.99,0.99,0.98
soy, 14/15,2014-12-04,1,1,0.97,1,0.96,1,1,0.99
soy, 14/15,2014-12-11,1,1,1,1,1,1,1,1
soy, 15/16,2015-09-24,0,0.01,0,0,0,0.01,0.01,0.01
soy, 15/16,2015-10-01,0.01,0.02,0,0,0.01,0.03,0.03,0.02
soy, 15/16,2015-10-08,0.04,0.08,0,0.06,0.08,0.09,0.05,0.06
soy, 15/16,2015-10-15,0.13,0.2,0.01,0.07,0.12,0.22,0.14,0.14
soy, 15/16,2015-10-22,0.19,0.25,0.05,0.1,0.15,0.31,0.2,0.2
soy, 15/16,2015-10-29,0.33,0.46,0.15,0.26,0.42,0.51,0.4,0.38
soy, 15/16,2015-11-05,0.62,0.71,0.32,0.34,0.52,0.81,0.65,0.61
soy, 15/16,2015-11-12,0.84,0.92,0.56,0.73,0.79,0.94,0.89,0.84
soy, 15/16,2015-11-19,0.95,0.96,0.65,0.84,0.82,0.97,0.95,0.9
soy, 15/16,2015-11-26,0.99,1,0.79,0.97,0.95,1,0.98,0.96
soy, 15/16,2015-12-03,1,1,0.85,0.99,0.99,1,1,0.97
soy, 15/16,2015-12-10,1,1,0.89,1,1,1,1,0.98
soy, 15/16,2015-12-18,1,1,0.93,1,1,1,1,0.99
soy, 15/16,2016-01-07,1,1,0.99,1,1,1,1,1
soy, 15/16,2016-01-14,1,1,1,1,1,1,1,1
soy, 16/17,2016-09-22,0.01,0.02,0,0,0,0.02,0.01,0.01
soy, 16/17,2016-09-29,0.03,0.07,0.01,0.01,0.02,0.1,0.03,0.05
soy, 16/17,2016-10-06,0.13,0.24,0.02,0.1,0.07,0.36,0.09,0.16
soy, 16/17,2016-10-13,0.31,0.42,0.08,0.31,0.21,0.54,0.22,0.31
soy, 16/17,2016-10-20,0.4,0.54,0.09,0.46,0.25,0.67,0.38,0.42
soy, 16/17,2016-10-27,0.72,0.83,0.21,0.71,0.53,0.88,0.68,0.68
soy, 16/17,2016-11-03,0.91,0.94,0.33,0.87,0.68,0.98,0.82,0.8
soy, 16/17,2016-11-10,0.98,0.99,0.47,0.97,0.86,1,0.93,0.88
soy, 16/17,2016-11-17,1,1,0.76,1,0.98,1,0.98,0.95
soy, 16/17,2016-11-24,1,1,0.87,1,0.99,1,0.99,0.98
soy, 16/17,2016-12-01,1,1,0.96,1,1,1,1,0.99
soy, 16/17,2016-12-08,1,1,0.99,1,1,1,1,1
soy, 16/17,2016-12-15,1,1,1,1,1,1,1,1
soy, 17/18,2017-09-21,0,0,0,0,0,0,0,0
soy, 17/18,2017-09-28,0.01,0.01,0,0.01,0,0.04,0.01,0.01
soy, 17/18,2017-10-05,0.03,0.08,0.01,0.04,0.04,0.13,0.05,0.06
soy, 17/18,2017-10-13,0.05,0.2,0.02,0.09,0.08,0.41,0.07,0.14
soy, 17/18,2017-10-20,0.14,0.38,0.03,0.25,0.16,0.61,0.1,0.26
soy, 17/18,2017-10-27,0.43,0.58,0.06,0.54,0.35,0.79,0.31,0.44
soy, 17/18,2017-11-03,0.73,0.81,0.12,0.83,0.56,0.92,0.59,0.65
soy, 17/18,2017-11-10,0.88,0.94,0.3,0.92,0.74,0.98,0.8,0.8
soy, 17/18,2017-11-17,0.98,0.99,0.57,0.97,0.83,1,0.96,0.91
soy, 17/18,2017-11-24,1,1,0.79,1,0.97,1,0.99,0.96
soy, 17/18,2017-12-01,1,1,0.93,1,1,1,1,0.99
soy, 17/18,2017-12-08,1,1,0.98,1,1,1,1,1
soy, 17/18,2017-12-15,1,1,1,1,1,1,1,1
soy, 18/19,2018-09-21,0.01,0.01,0,0,0.01,0.02,0.01,0.01
soy, 18/19,2018-09-28,0.03,0.04,0,0.05,0.05,0.11,0.05,0.04
soy, 18/19,2018-10-05,0.11,0.12,0.02,0.15,0.14,0.27,0.13,0.13
soy, 18/19,2018-10-12,0.25,0.3,0.12,0.25,0.28,0.48,0.26,0.27
soy, 18/19,2018-10-19,0.51,0.55,0.27,0.52,0.5,0.73,0.51,0.51
soy, 18/19,2018-10-26,0.73,0.8,0.52,0.74,0.64,0.88,0.72,0.73
soy, 18/19,2018-11-02,0.93,0.94,0.68,0.91,0.8,0.95,0.93,0.89
