"fdate","vdate","geounit","soilm"
"1980-12-01","1980-12-01","BRA.AC.01",488.6
"1980-12-01","1980-12-01","BRA.AC.02",526.2
"1980-12-01","1980-12-01","BRA.AL.01",152.8
"1980-12-01","1980-12-01","BRA.AL.02",233.1
"1980-12-01","1980-12-01","BRA.AL.03",336.3
"1980-12-01","1980-12-01","BRA.AM.01",557
"1980-12-01","1980-12-01","BRA.AM.02",597.6
"1980-12-01","1980-12-01","BRA.AM.03",516.6
"1980-12-01","1980-12-01","BRA.AM.04",543.7
"1980-12-01","1980-12-01","BRA.AP.01",406.2
"1980-12-01","1980-12-01","BRA.AP.02",322
"1980-12-01","1980-12-01","BRA.BA.01",478.5
"1980-12-01","1980-12-01","BRA.BA.02",243.6
"1980-12-01","1980-12-01","BRA.BA.03",254
"1980-12-01","1980-12-01","BRA.BA.04",191.6
"1980-12-01","1980-12-01","BRA.BA.05",398
"1980-12-01","1980-12-01","BRA.BA.06",325.3
"1980-12-01","1980-12-01","BRA.BA.07",450.9
"1980-12-01","1980-12-01","BRA.CE.01",72.7
"1980-12-01","1980-12-01","BRA.CE.02",62.9
"1980-12-01","1980-12-01","BRA.CE.03",83.8
"1980-12-01","1980-12-01","BRA.CE.04",73.8
"1980-12-01","1980-12-01","BRA.CE.05",59.7
"1980-12-01","1980-12-01","BRA.CE.06",148.2
"1980-12-01","1980-12-01","BRA.CE.07",219.6
"1980-12-01","1980-12-01","BRA.DF.01",488.1
"1980-12-01","1980-12-01","BRA.ES.01",478.7
"1980-12-01","1980-12-01","BRA.ES.02",493
"1980-12-01","1980-12-01","BRA.ES.03",518.8
"1980-12-01","1980-12-01","BRA.ES.04",504.1
"1980-12-01","1980-12-01","BRA.GO.01",545.2
"1980-12-01","1980-12-01","BRA.GO.02",574.4
"1980-12-01","1980-12-01","BRA.GO.03",501.1
"1980-12-01","1980-12-01","BRA.GO.04",514.5
"1980-12-01","1980-12-01","BRA.GO.05",455.7
"1980-12-01","1980-12-01","BRA.MA.01",204.2
"1980-12-01","1980-12-01","BRA.MA.02",267.8
"1980-12-01","1980-12-01","BRA.MA.03",279.6
"1980-12-01","1980-12-01","BRA.MA.04",244.2
"1980-12-01","1980-12-01","BRA.MA.05",436.4
"1980-12-01","1980-12-01","BRA.MG.01",463.3
"1980-12-01","1980-12-01","BRA.MG.02",384.9
"1980-12-01","1980-12-01","BRA.MG.03",400.1
"1980-12-01","1980-12-01","BRA.MG.04",423.4
"1980-12-01","1980-12-01","BRA.MG.05",477.8
"1980-12-01","1980-12-01","BRA.MG.06",438
"1980-12-01","1980-12-01","BRA.MG.07",498.7
"1980-12-01","1980-12-01","BRA.MG.08",462.9
"1980-12-01","1980-12-01","BRA.MG.09",496.7
"1980-12-01","1980-12-01","BRA.MG.10",523.2
"1980-12-01","1980-12-01","BRA.MG.11",494.6
"1980-12-01","1980-12-01","BRA.MG.12",494.7
"1980-12-01","1980-12-01","BRA.MS.01",462.4
"1980-12-01","1980-12-01","BRA.MS.02",544.5
"1980-12-01","1980-12-01","BRA.MS.03",525.1
"1980-12-01","1980-12-01","BRA.MS.04",531.9
"1980-12-01","1980-12-01","BRA.MT.01",585.2
"1980-12-01","1980-12-01","BRA.MT.02",550.6
"1980-12-01","1980-12-01","BRA.MT.03",469.7
"1980-12-01","1980-12-01","BRA.MT.04",430.6
"1980-12-01","1980-12-01","BRA.MT.05",538.4
"1980-12-01","1980-12-01","BRA.PA.01",348.3
"1980-12-01","1980-12-01","BRA.PA.02",324.4
"1980-12-01","1980-12-01","BRA.PA.03",386.2
"1980-12-01","1980-12-01","BRA.PA.04",311.5
"1980-12-01","1980-12-01","BRA.PA.05",473.4
"1980-12-01","1980-12-01","BRA.PA.06",411.9
"1980-12-01","1980-12-01","BRA.PB.01",127.7
"1980-12-01","1980-12-01","BRA.PB.02",74.1
"1980-12-01","1980-12-01","BRA.PB.03",116.7
"1980-12-01","1980-12-01","BRA.PB.04",243
"1980-12-01","1980-12-01","BRA.PE.01",164
